date_identified,implant_type,url,hash,c2
2019-09-28 08:32:19,njRat,https://t.co/EMnoSSLPoP,174993f00901bf74bc4d15a97f4c263651d2ad32589f3bb05cd9c92e6a60be74,127.0.0.1:7400
2019-09-28 08:32:03,njRat,https://t.co/hU1a9igNOF,174993f00901bf74bc4d15a97f4c263651d2ad32589f3bb05cd9c92e6a60be74,127.0.0.1:7400
2019-09-28 08:17:02,njRat,https://t.co/K8qgEfuCLl,174993f00901bf74bc4d15a97f4c263651d2ad32589f3bb05cd9c92e6a60be74,127.0.0.1:7400
2019-09-28 05:47:03,njRat,https://t.co/gSOoGtSivs,c4ec1f5e452c8cd70ed3ad3954970fb0ea367968ac9d97b5436eda98b801128f,mammoz.ddns.net:6521
2019-09-28 04:32:03,njRat,https://t.co/5TRUCUrYKJ,d115012bc971ff02102d8078edb9f0198c7a4f5397779684c6cd059c219e3a4f,microsoftcorporation32.duckdns.org:5558
2019-09-28 00:47:03,njRat,https://t.co/3DQIt0fz3D,87879e8fbc8640d836738a2e4c33a5879781b7a3d294a80627ddbdb30b834cd3,alirhman30.ddns.net:3973
2019-09-27 19:02:04,njRat,https://t.co/vj8prqSAyu,28dfc209bccb8e17b03267b058fcd29e66cdadf52ee1edc5a20f4035267d8840,ail2001d.ddns.net:2001
2019-09-27 18:17:02,njRat,https://t.co/YzvC4aCcOM,7ad15f19b3b233106467639a3de8e639cb4ef3e83b12b4c1568bf068b3a60f73,gnona2000.ddns.net:3973
2019-09-27 18:02:03,njRat,https://t.co/BYW1EJ6AhZ,8c791d65fe5b302f4764a917f9a6fbd51f8e328f6ae93b9c335ffc9adcd557ef,gnona2000.ddns.net:1177
2019-09-27 14:09:27,PowerShell_Empire_Agent,https://t.co/b1Jb6vw4I6,50a9c73ce6698a6fe0ca18dfb3956ce8ec085f198a7e1ce7160c6412b22a8116,192.168.1.33:80
2019-09-27 14:02:03,njRat,https://t.co/1j4jl7kLcj,9ed0da7178018ed5ad1e4b63ffd7e4e85ddb3508fb221a7155634497f94da09a,127.0.0.1:5552
2019-09-27 14:00:02,PowerShell_Empire_Agent,https://t.co/wsDOzb4NLX,8f3c94da1e571ad0dc24dd788b2fd1de9a6a481875f6241daefc0bb33811c75c,192.168.1.33:80
2019-09-27 13:27:05,PowerShell_Empire_Agent,https://t.co/B7drgtACcq,9979092384c7cb9cbf2a85af51a1261cd00b30bf3256832756fdc6aca1968386,192.168.1.64:80
2019-09-27 13:02:36,njRat,https://t.co/PrdYyFYuQn,7d0426c8f0af2ecd8ba1f220b0d2f3360bc80876dff3ac7e0ec424070667782c,Server.exe:5552
2019-09-27 13:02:20,njRat,https://t.co/gr5RylEezO,0192bf302ac15b05599bf5a42ab78fbcf23f8a78e47f352445a1f510e3fbe79d,Server.exe:5552
2019-09-27 13:02:03,njRat,https://t.co/jDr77HuwHe,7d0426c8f0af2ecd8ba1f220b0d2f3360bc80876dff3ac7e0ec424070667782c,Server.exe:5552
2019-09-26 22:20:03,PowerShell_Empire_Agent,https://t.co/Jdk3FA14fP,a5eb28d06b7643fc10bfbf60c5759c03b7a450f88a1469e63ece9fda4e4ea8a2,https://192.168.14.102:443
2019-09-26 21:20:03,PowerShell_Empire_Agent,https://t.co/HYEnmXDtjS,a92e72e1d0d82182f964885aae0f1a346a1736ba0981094016b055ec17f18b63,https://192.168.14.102:443
2019-09-26 21:10:03,PowerShell_Empire_Agent,https://t.co/iL0xHEkIdD,cf2c3eb62626d0aabd7b6f37f4f579b22ea3757d4391f372bcf3038f7a3c2224,https://10.0.2.15:443
2019-09-26 19:02:19,njRat,https://t.co/gOWtzEysiW,769b9049983ef9b6dedfcc714532d2f84f3ae3e1fdf752c7841363d144ee67d8,gnona2000.ddns.net:3973
2019-09-26 19:02:03,njRat,https://t.co/2olw32rcS1,769b9049983ef9b6dedfcc714532d2f84f3ae3e1fdf752c7841363d144ee67d8,gnona2000.ddns.net:3973
2019-09-26 15:32:03,njRat,https://t.co/aumK6MTY5V,9fd65ce19dfe3c7a686fdf78e6f9382ccee9a36fe45577f1cd2bc45f7ed08ed1,ail2001d.ddns.net:2001
2019-09-26 15:02:03,njRat,https://t.co/yHprZ4x3Ed,111a2c624324d5d8ca2564a2bfe22eead0db2d20e7aad87f44cb2f8e74092baf,ail2001d.ddns.net:2001
2019-09-26 14:17:20,njRat,https://t.co/HZdR6zjl6I,7b98ccf13e3a8aad87e660a3f433e9df784bb3e3e6202617d381ecc46cfdbd07,127.0.0.1:5552
2019-09-26 14:17:03,njRat,https://t.co/O1uZlFfieC,1e9a2c3d182c25c8fbaf950b3811ac67fc160bffe507787317b748d1142fa4a3,127.0.0.1:9770
2019-09-26 13:43:06,njRat,https://t.co/pQnjYfMkpD,c40edf9ccd390a86a65b4b81cfd1a66912bf12414472c578f3ff56d190e30896,127.0.0.1:5552
2019-09-26 13:32:03,njRat,https://t.co/K0rRr9WTid,f948cc43b17f0cfd253f36a11472f8b6c9c2fd2c98b9ba67fcdf166367d6a807,ail2001.ddns.net:2001
2019-09-26 10:10:02,PowerShell_Empire_Agent,https://t.co/lpOMqJAcfv,85c7d42227d587b58a37116ad84e6c94af57164bc038e66dce4d33aa1595127c,52.137.47.80:80
2019-09-26 07:02:02,njRat,https://t.co/2J1eLMWkri,40220c2328644ad938dcaef90caeb59ebf39cb19a7a89b0cc636c3cfe13c66df,127.0.0.1:9770
2019-09-26 00:17:03,njRat,https://t.co/bGZ3uj1hFw,13ee0d1151b4fcf9e805b98e072bef91c8f2a5741c520d6e9c84234d89926d32,127.0.0.1:5552
2019-09-25 22:47:02,njRat,https://t.co/yQ0MHjXzQQ,bb59b7cc811b2db1a4b8a49757e5304725c4ef9e45420fc0dbd0058d25e488bc,"3asker.ddns.net:5553,"
2019-09-25 21:50:06,njRat,https://t.co/eveK0Osh8f,bb59b7cc811b2db1a4b8a49757e5304725c4ef9e45420fc0dbd0058d25e488bc,"3asker.ddns.net:5553,"
2019-09-25 21:47:03,njRat,https://t.co/nKLOFBZqLJ,5e0a4c9449c9c3023ec7ab7be13a33cfdce5e8eb2aaabf284d8749d68b1281c7,127.0.0.1:4321
2019-09-25 21:32:03,Revenge,https://t.co/Zdq4L7QH2a,52ca969d7189f75bf1640d06e767d31679db519bc87dcb72cb911113b6e0aee8,noraip111.ddns.net:1177
2019-09-25 16:44:39,njRat,https://t.co/Bxci2ZkFLd,253df4b1c7cba2fc54ccd939acc7fe7fc266c935ec606827bf1f1cba1aee1482,atribute.duckdns.org:43648
2019-09-25 15:55:03,PowerShell_Meterpreter_Reverse_TCP_x86,https://t.co/be0f8YbSQX,71e297769520575fb721345a11e52705cfe6f218b6f80ae69b6cc9c6a23ff57e,192.168.1.33:4444
2019-09-25 15:17:04,njRat,https://t.co/AO5b5Ce0IN,53c6fe3fc259ede7513868abec0530c51f7008ab64867bed378c4e06012cafaa,0.tcp.ngrok.io:10153
2019-09-25 09:47:04,Revenge,https://t.co/8JXoIXQb7P,b137c8c4364adf557f0adc984943b5980b9bdf80ac1203a2b3bea9adbb8599eb,wwwwwwwwwwwwwwwwwww.hopto.org:333
2019-09-25 09:32:03,NanoCore,https://t.co/5HrfySLfMT,3ae674415c3e44fb02b2e662f96a7000b80f1ee8ab2cd4c34a4eb0d56fd4f5a5,"kultakulli11.ddns.net:5353,127.0.0.1:5353,"
2019-09-25 01:02:03,njRat,https://t.co/9VmqcY3MXD,e9695919ecebd93beb4f611fc8fccb19f1886cf1d3b072fd47ddb548c3d7fc7a,unaccpetable.publicvm.com:789
2019-09-24 22:40:02,PowerShell_Empire_Agent,https://t.co/Q8SzJ75Mbj,48fe23d3b985677f58ddf180c0efdffb09c9ea596439e6c39252194a62c261c8,192.168.33.254:5555
2019-09-24 21:40:03,PowerShell_Empire_Agent,https://t.co/daxYTbrg2M,e0a46d3f7491fda6005e212c81758b4bf9096e1aea6178ecd62765cdb5d9e7ae,192.168.33.254:1234
2019-09-24 21:32:07,DarkComet,https://t.co/92PqGBQ1Ot,bd93072eec977cf2145e1d38fae99f53bf471d5c72af3ac3b85a398aef4021e9,"crack4fun.hopto.org:5555/,"
2019-09-24 21:20:02,PowerShell_Empire_Agent,https://t.co/hFHSUocNtW,ae8f4757438816dc7004c12fe5004cce31b8e2b948a34265a5f169d06db6ae3a,192.68.33.254:7777
2019-09-24 21:10:02,PowerShell_Empire_Agent,https://t.co/rHj69Z556Z,8bb481ae42afdf146685d371c5d6473618b1b6cd46c523ce7e3ca1ac763a6ca7,192.68.33.254:7777
2019-09-24 21:00:03,PowerShell_Empire_Agent,https://t.co/asEkcG6Vgx,52da5a64a295bab9e0bddb7a098efde24556708d24ee2b7bf6461b5e704c2a9a,192.68.33.254:7777
2019-09-24 20:47:03,njRat,https://t.co/snbZf6uwuG,fee82fcfad54da98a777611a456c6b61b9186782004d0aa36cc91917d162d628,hackanything.myftp.biz:1177
2019-09-24 20:40:02,PowerShell_Empire_Agent,https://t.co/JFtkmpjYkS,de228f41555fe7b7b086dc8ebde5034ecaaf09919fe35508cf7cb56f9a23094a,192.168.33.254:5050
2019-09-24 20:30:04,PowerShell_Empire_Agent,https://t.co/gP8S2Txl1s,1a00e887f05f8190c580c5036e1bcd204c60ff20f551ea125dc0b2f9c8964765,192.68.33.254:7777
2019-09-24 20:20:03,PowerShell_Empire_Agent,https://t.co/V2FB3lY2Sx,9c935bd03d6ec37d9e0f4258e991f3692221b4efa060635398f49a7516848cb0,192.168.33.254:80
2019-09-24 18:17:07,RAT,https://t.co/0tT8kqJt5g,6633e6933d4ab073f145226714f360dbcf0bc1f7bd878b880f256bad5654e276,"127.0.0.1:2404:pass,"
2019-09-24 15:17:03,njRat,https://t.co/YMlodUDRW1,f948cc43b17f0cfd253f36a11472f8b6c9c2fd2c98b9ba67fcdf166367d6a807,ail2001.ddns.net:2001
2019-09-24 12:32:20,njRat,https://t.co/Ew2xaWcrlE,04b071c39bbb671713b97c50bbaeb19e11b1279fa39331bdb545b4148b2fc146,oaelgsar.myq-see.com:1177
2019-09-24 12:32:03,njRat,https://t.co/WISMiHMNo5,22524694f2e9c8ffeef1d8bb2cb0567f480b8a28670759e7b0ad293ac70a5f53,oaelgsar.myq-see.com:3973
2019-09-24 08:25:03,PowerShell_Meterpreter_Reverse_TCP_x86,https://t.co/vBD971JgsJ,151ff693e2cd4675748085eea5f9ba31a05468d111c81feb5c1f7ddea4a9683d,141.255.159.11:444
2019-09-24 07:55:02,PowerShell_Meterpreter_Reverse_TCP_x86,https://t.co/LHC5EFtBLz,ea60a962d78510ef33ef2619ca153a374a1d0f612df6e02b9e12c6c51031c3d4,141.255.159.11:4444
2019-09-23 19:25:02,PowerShell_Meterpreter_Reverse_HTTP_x86,https://t.co/1x1VKLBX6U,035bb04a34d71e6b2e4f21bd0190e9d7e0f0560b1a3c315031c1c65574bda36b,192.168.1.149
2019-09-23 18:32:03,njRat,https://t.co/ZcG0eTkktA,ee38d8437b7253fbe7f1c457daae0235a94fce0b55208b3a59c4988195e0ceaf,ratty.hopto.org:5552
2019-09-23 18:02:04,njRat,https://t.co/CAfkpZjMMw,e24dc3e674a42153962f296222b77ad9f5bbacd9259ebe9495c0d67ce329bd5a,ratty.hopto.org:5552
2019-09-23 11:17:03,Revenge,https://t.co/1U1N3757uI,23b9d4c2386ca59eed9ec6e6c7bc52f21f3c38b378041acd35d79ac2728dbef2,omnibeesweb02.hopto.org:333
2019-09-23 10:02:03,njRat,https://t.co/iV4wLO8qL8,5368133d150fedb272220e1f8cd37ed8df440a9ff07e9120db52a8ff43ad2389,ramzidz02.ddns.net:1177
2019-09-23 08:47:03,Lime-RAT,https://t.co/TKjgUFRznt,c5dc36a574fa7bb16bd391199a5ca420eae859159d0e09cfa1ded800b27933c2,https://pastebin.com/raw/F2m2N4TX
2019-09-23 04:32:03,njRat,https://t.co/aMk8139EfN,2b0142f58f3e4f95d7fc47dba11981e79c7620908f065965afdfb856dbb354c9,127.0.0.1:1177
2019-09-23 03:36:36,njRat,https://t.co/HLSghiiEfe,3084ab5c2cb0a30a3dd8e20ced0fd70cb756c2948ad9af02e5f62dc876f296a1,joker3.ddns.net:1177
2019-09-22 20:32:03,njRat,https://t.co/dXb3MdEOxW,e73b38555a1658df4c3b5ab92122e1b2533da676171a3491517e19201746d540,oaelgsar.myq-see.com:1177
2019-09-22 20:17:03,njRat,https://t.co/RIYu65dsx4,37c4bd50a2e01005d359aace09b2107cd56302497efcfd0a99f8ef25b7f692bf,oaelgsar.myq-see.com:3973
2019-09-22 15:47:03,Revenge,https://t.co/n0udilNLkz,4811166ffb9772b3860a234b540326155dfd67694deff554bd3f883092632406,yourmailamazon99.redirectme.net:1177
2019-09-21 19:17:02,njRat,https://t.co/zEPyTuv1En,cf612d7735788802a5fca27b622677334d1b0f9d02dbb8e3b172a77488e34ade,emadporn.ddns.net:3973
2019-09-21 19:02:03,njRat,https://t.co/bXKr4hJyTH,f498084282851f0d25adbd088a4c3cf648e7b5f8be5e10d6ecadfe2e52c77582,emadporn.ddns.net:1177
2019-09-21 13:47:03,njRat,https://t.co/PLr5YFApPH,44d948379c02e052ca2d79af23529fc29b662d3d63376c22fa2d728941975799,192.168.1.3:4444
2019-09-21 11:02:03,njRat,https://t.co/yTmiIsjqYU,6f8aabc3225c6e04d194f4999db14b3f434c3272584ce43db89ab7cd29a94100,njratv8-5.duckdns.org:4444
2019-09-21 10:02:03,njRat,https://t.co/hOs5qpLHDW,60dd9259ac9e9b3de1e42dde8d4f7e77131cab33e8aa63baa957a8eede9f9087,njratv8-5.duckdns.org:4444
2019-09-21 09:17:02,Revenge,https://t.co/hHVufKELTn,58c4e8659cc30d52173d632f947899d03c94ca8f1819bdfdec3904c6af8e931a,3.19.114.185:11400
2019-09-21 08:32:02,njRat,https://t.co/vFqGrHepJz,0c4e4b9ab7d61181731d008684353552c899103cfb3ab56b22b1d461f9f2aaa4,"127.0.0.1:5553,"
2019-09-21 08:02:03,njRat,https://t.co/tr6jxfxQJW,0c4e4b9ab7d61181731d008684353552c899103cfb3ab56b22b1d461f9f2aaa4,"127.0.0.1:5553,"
2019-09-21 06:47:03,njRat,https://t.co/jeiXmwfjeR,45ad45b977c49306c9ee9e484da5b41f85683ac27d6e18017f1d623c3a5c79ce,grgrgrgr.ddns.net:1177
2019-09-21 02:43:18,PowerShell_Meterpreter_Reverse_HTTP_x86,https://t.co/SiWUB5wnAD,e7a158f5b0f3a7f40f1471beea1f87e379f2d53fbe88410ce3cec809e9e407a0,onezero0.net
2019-09-21 01:43:00,njRat,https://t.co/XRSqyJKEg1,32e47e389864e289156a319f488af0dd167f08226136bdde8e7528529a87ea3a,127.0.0.1:2011
2019-09-20 19:47:03,NanoCore,https://t.co/MrdeL7h23C,8f6e656b987db671f959eac5ef4b0e9ce4aa99d6342ce3587fe8135b7fcc5543,"127.0.0.1:54984,127.0.0.1:54984,"
2019-09-20 15:32:03,Revenge,https://t.co/YiLL7HLjaD,1823465324d74195ab2586e578edf9c402ff9a968561eb25d21fe966dfa5a5e8,omnibeesweb01.hopto.org:333
2019-09-20 15:17:02,Revenge,https://t.co/H4588OuGx3,952472e0fb8ef9503e3337b4a40d438b6a60ecbcaa3743a64c9ba44b8b835b5b,omnibeesweb01.hopto.org:333
2019-09-20 12:17:02,njRat,https://t.co/VyQ4u74Smm,39c24dcbdba2085b881b46edcc8593f76908febd98376107d0c3a0ae07071ea8,server.exe:5:48
2019-09-20 11:17:03,Revenge,https://t.co/Ib9Z3KSDx1,6f2aa8832a2331fee176b380a4538fa0c84d493c9345c4f4888b9f2bcf143be7,omnibeesweb01.hopto.org:333
2019-09-20 10:47:03,njRat,https://t.co/xpIFOHhyNe,50772ddcee933bbeb3f17187dd5db3f8a913c6aa9e879fd90e5d3ee7dc81f548,emadporn.ddns.net:1177
2019-09-20 10:32:02,njRat,https://t.co/8pPkxivK5y,bd81ea924d98b2165a36c6bc9a429bd0c16a60cbcd48c2eb4b02496582412533,emadporn.ddns.net:3973
2019-09-20 08:02:03,njRat,https://t.co/Pv0Z84f475,44cf3c28c31138ee930893f1e00d16550e8f676f09ae1ca08b24de9b9b151d89,127.0.0.1:5050
2019-09-20 07:47:03,njRat,https://t.co/vn6cjxeSI7,44cf3c28c31138ee930893f1e00d16550e8f676f09ae1ca08b24de9b9b151d89,127.0.0.1:5050
2019-09-20 03:02:03,Revenge,https://t.co/204F0Qf3N9,19c0eb450a20ef2bef0ea294321cb024f5123c0de617f2aca71a4d630d8c4e4f,omnibeesweb01.hopto.org:333
2019-09-19 21:02:03,njRat,https://t.co/lmgy1WXAPL,e981608db8175a25618735763e6d991246d14200e824c6d7218bafe386c6df80,127.0.0.1:5050
2019-09-19 18:32:03,njRat,https://t.co/nXhQdrMCAy,753aa4249391bed772e77449dc4521ef7a1165509cf4b3edc59008bdad85a6df,127.0.0.1:5050
2019-09-19 15:32:02,njRat,https://t.co/jtABzLzUKA,87f5caeec0f9daf2ba0eba47b9cd0e32f4038e3dcde2ca942a2574adf2e1d311,malakala.ddns.net:6201
2019-09-19 12:53:39,PowerShell_Meterpreter_Reverse_TCP_x86,https://t.co/UJlA0pIEgF,27dc86adc3a732429b418ee7fd196e39435fd27ae204194bcf36dbcf9e2d0da4,10.0.1.46:4444
2019-09-19 12:32:02,Lime-RAT,https://t.co/YtXQSfVrZy,f686bd287d41cfd8793f9ba085fc8f658d6663f85e0f786b2e82c4321d6b866e,https://pastebin.com/raw/BFsTJs0s
2019-09-18 22:47:02,Revenge,https://t.co/euVKApK0Vw,91f9b17f5c1ea13cc7f34285d5861baed6154726387359124a07f13b45864b37,127.0.0.1:443
2019-09-18 16:17:03,njRat,https://t.co/zsqX466lxR,cc818c038a809f168e2dcd79b59c9f1ebaf77e807d3031ac44f67b3f43361fec,moudixg.ddns.net:1177
2019-09-18 13:17:19,njRat,https://t.co/s5o7nYlkfO,57661e68b827a802643c5b570af4cc04e394d1983030868a07f2ef3bd0214786,35.224.52.182:4040
2019-09-18 13:17:02,njRat,https://t.co/yqrNfkXfgs,074dba263adc537e01de045a00ee5d1147ce3e1a268f39b5005293d38a59f86a,35.224.52.182:4040
2019-09-18 08:02:02,NanoCore,https://t.co/0cu3RGBVDS,39da99bf16ac935c9c4bf8854b1785fcf4f4b0372188743fa68ad4b7a2c2c5df,"192.168.1.112:4444,"
